Station Name,City,State,Latitude,Longitude,Operator,Usage Type,Connector Type,Power (kW)
Eco Charge Hub - GO EC,Thiruvananthapuram ,Kerala,8.353208648,77.05379012,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Rajco EVCS - GO EC,Neyyattinkara,Kerala,8.394252775,77.08872897,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Rajco EVCS - GO EC,Neyyattinkara,Kerala,8.394252775,77.08872897,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Appolo Dimora Hotel EVCS - GO EC,Thiruvananthapuram ,Kerala,8.488661007,76.95075167,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Lulu International Mall EVCS - GO EC,Thiruvananthapuram ,Kerala,8.515262882,76.89815844,GO EC (IN),Public - Membership Required,CCS (Type 2),60
Lulu International Mall EVCS - GO EC,Thiruvananthapuram ,Kerala,8.515262882,76.89815844,GO EC (IN),Public - Membership Required,CCS (Type 2),60
Lulu International Mall EVCS - GO EC,Thiruvananthapuram ,Kerala,8.515262882,76.89815844,GO EC (IN),Public - Membership Required,Type 2 (Tethered Connector) ,7.4
Lulu International Mall EVCS - GO EC,Thiruvananthapuram ,Kerala,8.515262882,76.89815844,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Trivandrum UST Campus EVCS - GO EC,Thiruvananthapuram ,Kerala,8.539993048,76.884425,GO EC (IN),"Private - For Staff, Visitors or Customers",Type 2 (Tethered Connector) ,7.4
Trivandrum UST Campus EVCS - GO EC,Thiruvananthapuram ,Kerala,8.539993048,76.884425,GO EC (IN),"Private - For Staff, Visitors or Customers",CEE 3 Pin,3.3
Karthika Residency Hotel EVCS - GO EC,Karette,Kerala,8.728845866,76.89844751,GO EC (IN),Public - Membership Required,CCS (Type 2),80
KKP Renewables EVCS - GO EC,Karette,Kerala,8.734523378,76.89801647,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Aeron EVCS - GO EC,Attingal,Kerala,8.686808046,76.82402233,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Aeron EVCS - GO EC,Attingal,Kerala,8.686808046,76.82402233,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Zenith EVCS - GO EC,Attingal,Kerala,8.733067659,76.81064655,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Orion Plaza EVCS - GO EC,Chadayamangalam,Kerala,8.86342699,76.87120784,GO EC (IN),Public - Membership Required,CCS (Type 2),60
Orion Plaza EVCS - GO EC,Chadayamangalam,Kerala,8.86342699,76.87120784,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Power Up EVCS - GO EC,Varkala,Kerala,8.74908605,76.70581859,GO EC (IN),Public - Membership Required,CCS (Type 2),25
Power Up EVCS - GO EC,Varkala,Kerala,8.74908605,76.70581859,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
